grupo_etario,semana,semana_texto,inicio_semana,casos_totales,casos_diarios_promedio,cambio_porcentual_diarios
50-69,0,01 Jan - 01 Jan 22,2022-01-01,254,254,
50-69,1,02 Jan - 08 Jan 22,2022-01-02,1731,247,-2.64
50-69,2,09 Jan - 15 Jan 22,2022-01-09,1536,219,-11.27
50-69,3,16 Jan - 22 Jan 22,2022-01-16,1365,195,-11.13
50-69,4,23 Jan - 29 Jan 22,2022-01-23,1369,195,0.29
50-69,5,30 Jan - 05 Feb 22,2022-01-30,1547,221,13.0
50-69,6,06 Feb - 09 Feb 22,2022-02-06,1024,256,15.84
50-69,13,01 Apr - 04 Apr 20,2020-04-01,487,121,-52.44
50-69,14,05 Apr - 11 Apr 20,2020-04-05,1334,190,56.53
50-69,15,12 Apr - 18 Apr 20,2020-04-12,1492,213,11.84
50-69,16,19 Apr - 25 Apr 20,2020-04-19,1497,213,0.34
50-69,17,26 Apr - 02 May 20,2020-04-26,1524,217,1.8
50-69,18,03 May - 09 May 20,2020-05-03,1815,259,19.09
50-69,19,10 May - 16 May 20,2020-05-10,2418,345,33.22
50-69,20,17 May - 23 May 20,2020-05-17,3463,494,43.22
50-69,21,24 May - 30 May 20,2020-05-24,5094,727,47.1
50-69,22,31 May - 06 Jun 20,2020-05-31,6272,896,23.13
50-69,23,07 Jun - 13 Jun 20,2020-06-07,6821,974,8.75
50-69,24,14 Jun - 20 Jun 20,2020-06-14,7652,1093,12.18
50-69,25,21 Jun - 27 Jun 20,2020-06-21,8759,1251,14.47
50-69,26,28 Jun - 04 Jul 20,2020-06-28,9152,1307,4.49
50-69,27,05 Jul - 11 Jul 20,2020-07-05,8801,1257,-3.84
50-69,28,12 Jul - 18 Jul 20,2020-07-12,7916,1130,-10.06
50-69,29,19 Jul - 25 Jul 20,2020-07-19,6951,993,-12.19
50-69,30,26 Jul - 01 Aug 20,2020-07-26,5883,840,-15.36
50-69,31,02 Aug - 08 Aug 20,2020-08-02,5469,781,-7.04
50-69,32,09 Aug - 15 Aug 20,2020-08-09,5048,721,-7.7
50-69,33,16 Aug - 22 Aug 20,2020-08-16,4431,633,-12.22
50-69,34,23 Aug - 29 Aug 20,2020-08-23,3963,566,-10.56
50-69,35,30 Aug - 05 Sep 20,2020-08-30,3735,533,-5.75
50-69,36,06 Sep - 12 Sep 20,2020-09-06,3579,511,-4.18
50-69,37,13 Sep - 19 Sep 20,2020-09-13,3441,491,-3.86
50-69,38,20 Sep - 26 Sep 20,2020-09-20,3391,484,-1.45
50-69,39,27 Sep - 03 Oct 20,2020-09-27,3173,453,-6.43
50-69,40,04 Oct - 10 Oct 20,2020-10-04,3098,442,-2.36
50-69,41,11 Oct - 17 Oct 20,2020-10-11,3030,432,-2.19
50-69,42,18 Oct - 24 Oct 20,2020-10-18,2862,408,-5.54
50-69,43,25 Oct - 31 Oct 20,2020-10-25,2776,396,-3.0
50-69,44,01 Nov - 07 Nov 20,2020-11-01,2789,398,0.47
50-69,45,08 Nov - 14 Nov 20,2020-11-08,2765,395,-0.86
50-69,46,15 Nov - 21 Nov 20,2020-11-15,2694,384,-2.57
50-69,47,22 Nov - 28 Nov 20,2020-11-22,2519,359,-6.5
50-69,48,29 Nov - 05 Dec 20,2020-11-29,2504,357,-0.6
50-69,49,06 Dec - 12 Dec 20,2020-12-06,2443,349,-2.44
50-69,50,13 Dec - 19 Dec 20,2020-12-13,2359,337,-3.44
50-69,51,20 Dec - 26 Dec 20,2020-12-20,2382,340,0.97
50-69,52,27 Dec - 02 Jan 21,2020-12-27,2692,384,13.01
50-69,53,03 Jan - 09 Jan 21,2021-01-03,3075,439,14.23
50-69,54,10 Jan - 16 Jan 21,2021-01-10,3667,523,19.25
50-69,55,17 Jan - 23 Jan 21,2021-01-17,4429,632,20.78
50-69,56,24 Jan - 30 Jan 21,2021-01-24,5184,740,17.05
50-69,57,31 Jan - 06 Feb 21,2021-01-31,5786,826,11.61
50-69,58,07 Feb - 13 Feb 21,2021-02-07,6055,865,4.65
50-69,59,14 Feb - 20 Feb 21,2021-02-14,6090,870,0.58
50-69,60,21 Feb - 27 Feb 21,2021-02-21,6087,869,-0.05
50-69,61,28 Feb - 06 Mar 21,2021-02-28,6375,910,4.73
50-69,62,07 Mar - 13 Mar 21,2021-03-07,7019,1002,10.1
50-69,63,14 Mar - 20 Mar 21,2021-03-14,8063,1151,14.87
50-69,64,21 Mar - 27 Mar 21,2021-03-21,9096,1299,12.81
50-69,65,28 Mar - 03 Apr 21,2021-03-28,10476,1496,15.17
50-69,66,04 Apr - 10 Apr 21,2021-04-04,11438,1634,9.18
50-69,67,11 Apr - 17 Apr 21,2021-04-11,12383,1769,8.26
50-69,68,18 Apr - 24 Apr 21,2021-04-18,12812,1830,3.46
50-69,69,25 Apr - 01 May 21,2021-04-25,12370,1767,-3.45
50-69,70,02 May - 08 May 21,2021-05-02,11547,1649,-6.65
50-69,71,09 May - 15 May 21,2021-05-09,10416,1488,-9.79
50-69,72,16 May - 22 May 21,2021-05-16,9320,1331,-10.52
50-69,73,23 May - 29 May 21,2021-05-23,9017,1288,-3.25
50-69,74,30 May - 05 Jun 21,2021-05-30,9294,1327,3.07
50-69,75,06 Jun - 12 Jun 21,2021-06-06,9717,1388,4.55
50-69,76,13 Jun - 19 Jun 21,2021-06-13,10139,1448,4.34
50-69,77,20 Jun - 26 Jun 21,2021-06-20,10089,1441,-0.49
50-69,78,27 Jun - 03 Jul 21,2021-06-27,9607,1372,-4.78
50-69,79,04 Jul - 10 Jul 21,2021-07-04,8773,1253,-8.68
50-69,80,11 Jul - 17 Jul 21,2021-07-11,7527,1075,-14.2
50-69,81,18 Jul - 24 Jul 21,2021-07-18,6528,932,-13.27
50-69,82,25 Jul - 31 Jul 21,2021-07-25,5399,771,-17.29
50-69,83,01 Aug - 07 Aug 21,2021-08-01,4426,632,-18.02
50-69,84,08 Aug - 14 Aug 21,2021-08-08,3739,534,-15.52
50-69,85,15 Aug - 21 Aug 21,2021-08-15,3138,448,-16.07
50-69,86,22 Aug - 28 Aug 21,2021-08-22,2680,382,-14.6
50-69,87,29 Aug - 04 Sep 21,2021-08-29,2244,320,-16.27
50-69,88,05 Sep - 11 Sep 21,2021-09-05,1834,262,-18.27
50-69,89,12 Sep - 18 Sep 21,2021-09-12,1595,227,-13.03
50-69,90,19 Sep - 25 Sep 21,2021-09-19,1428,204,-10.47
50-69,91,26 Sep - 02 Oct 21,2021-09-26,1233,176,-13.66
50-69,92,03 Oct - 09 Oct 21,2021-10-03,1175,167,-4.7
50-69,93,10 Oct - 16 Oct 21,2021-10-10,1180,168,0.43
50-69,94,17 Oct - 23 Oct 21,2021-10-17,1288,184,9.15
50-69,95,24 Oct - 30 Oct 21,2021-10-24,1447,206,12.34
50-69,96,31 Oct - 06 Nov 21,2021-10-31,1541,220,6.5
50-69,97,07 Nov - 13 Nov 21,2021-11-07,1745,249,13.24
50-69,98,14 Nov - 20 Nov 21,2021-11-14,2019,288,15.7
50-69,99,21 Nov - 27 Nov 21,2021-11-21,2315,330,14.66
50-69,100,28 Nov - 04 Dec 21,2021-11-28,2383,340,2.94
50-69,101,05 Dec - 11 Dec 21,2021-12-05,2409,344,1.09
50-69,102,12 Dec - 18 Dec 21,2021-12-12,2318,331,-3.78
50-69,103,19 Dec - 25 Dec 21,2021-12-19,2094,299,-9.66
50-69,104,26 Dec - 31 Dec 21,2021-12-26,1658,276,-7.62
<50,0,01 Jan - 01 Jan 22,2022-01-01,103,103,-62.73
<50,1,02 Jan - 08 Jan 22,2022-01-02,674,96,-6.52
<50,2,09 Jan - 15 Jan 22,2022-01-09,571,81,-15.28
<50,3,16 Jan - 22 Jan 22,2022-01-16,546,78,-4.38
<50,4,23 Jan - 29 Jan 22,2022-01-23,536,76,-1.83
<50,5,30 Jan - 05 Feb 22,2022-01-30,595,85,11.01
<50,6,06 Feb - 09 Feb 22,2022-02-06,413,103,21.47
<50,13,01 Apr - 04 Apr 20,2020-04-01,232,58,-43.83
<50,14,05 Apr - 11 Apr 20,2020-04-05,596,85,46.8
<50,15,12 Apr - 18 Apr 20,2020-04-12,587,83,-1.51
<50,16,19 Apr - 25 Apr 20,2020-04-19,626,89,6.64
<50,17,26 Apr - 02 May 20,2020-04-26,682,97,8.95
<50,18,03 May - 09 May 20,2020-05-03,749,107,9.82
<50,19,10 May - 16 May 20,2020-05-10,1070,152,42.86
<50,20,17 May - 23 May 20,2020-05-17,1581,225,47.76
<50,21,24 May - 30 May 20,2020-05-24,1964,280,24.23
<50,22,31 May - 06 Jun 20,2020-05-31,2184,312,11.2
<50,23,07 Jun - 13 Jun 20,2020-06-07,2374,339,8.7
<50,24,14 Jun - 20 Jun 20,2020-06-14,2730,390,15.0
<50,25,21 Jun - 27 Jun 20,2020-06-21,3037,433,11.25
<50,26,28 Jun - 04 Jul 20,2020-06-28,2814,402,-7.34
<50,27,05 Jul - 11 Jul 20,2020-07-05,2524,360,-10.31
<50,28,12 Jul - 18 Jul 20,2020-07-12,2270,324,-10.06
<50,29,19 Jul - 25 Jul 20,2020-07-19,1991,284,-12.29
<50,30,26 Jul - 01 Aug 20,2020-07-26,1670,238,-16.12
<50,31,02 Aug - 08 Aug 20,2020-08-02,1465,209,-12.28
<50,32,09 Aug - 15 Aug 20,2020-08-09,1246,178,-14.95
<50,33,16 Aug - 22 Aug 20,2020-08-16,1136,162,-8.83
<50,34,23 Aug - 29 Aug 20,2020-08-23,1041,148,-8.36
<50,35,30 Aug - 05 Sep 20,2020-08-30,959,137,-7.88
<50,36,06 Sep - 12 Sep 20,2020-09-06,924,132,-3.65
<50,37,13 Sep - 19 Sep 20,2020-09-13,906,129,-1.95
