grupo_etario,semana,semana_texto,largo_semana,inicio_semana,fin_semana,casos_totales,casos_diarios_promedio,casos_diarios_promedio_ant,diferencia_promedios,cambio_porcentual_diarios
50-69,0,01 Jan - 01 Jan 22,1,2022-01-01,2022-01-01,254,254,,,
50-69,1,02 Jan - 08 Jan 22,7,2022-01-02,2022-01-08,1731,247,254.0,-6.714285714285722,-2.64
50-69,2,09 Jan - 15 Jan 22,7,2022-01-09,2022-01-15,1536,219,247.28571428571428,-27.85714285714286,-11.27
50-69,3,16 Jan - 22 Jan 22,7,2022-01-16,2022-01-22,1365,195,219.42857142857142,-24.428571428571416,-11.13
50-69,4,23 Jan - 29 Jan 22,7,2022-01-23,2022-01-29,1369,195,195.0,0.5714285714285836,0.29
50-69,5,30 Jan - 05 Feb 22,7,2022-01-30,2022-02-05,1547,221,195.57142857142858,25.428571428571416,13.0
50-69,6,06 Feb - 09 Feb 22,4,2022-02-06,2022-02-09,1024,256,221.0,35.0,15.84
50-69,13,01 Apr - 04 Apr 20,4,2020-04-01,2020-04-04,487,121,256.0,-134.25,-52.44
50-69,14,05 Apr - 11 Apr 20,7,2020-04-05,2020-04-11,1334,190,121.75,68.82142857142858,56.53
50-69,15,12 Apr - 18 Apr 20,7,2020-04-12,2020-04-18,1492,213,190.57142857142858,22.571428571428555,11.84
50-69,16,19 Apr - 25 Apr 20,7,2020-04-19,2020-04-25,1497,213,213.14285714285714,0.7142857142857224,0.34
50-69,17,26 Apr - 02 May 20,7,2020-04-26,2020-05-02,1524,217,213.85714285714286,3.857142857142861,1.8
50-69,18,03 May - 09 May 20,7,2020-05-03,2020-05-09,1815,259,217.71428571428572,41.571428571428555,19.09
50-69,19,10 May - 16 May 20,7,2020-05-10,2020-05-16,2418,345,259.2857142857143,86.14285714285717,33.22
50-69,20,17 May - 23 May 20,7,2020-05-17,2020-05-23,3463,494,345.42857142857144,149.28571428571428,43.22
50-69,21,24 May - 30 May 20,7,2020-05-24,2020-05-30,5094,727,494.7142857142857,232.99999999999994,47.1
50-69,22,31 May - 06 Jun 20,7,2020-05-31,2020-06-06,6272,896,727.7142857142857,168.28571428571433,23.13
50-69,23,07 Jun - 13 Jun 20,7,2020-06-07,2020-06-13,6821,974,896.0,78.42857142857144,8.75
50-69,24,14 Jun - 20 Jun 20,7,2020-06-14,2020-06-20,7652,1093,974.4285714285714,118.71428571428567,12.18
50-69,25,21 Jun - 27 Jun 20,7,2020-06-21,2020-06-27,8759,1251,1093.142857142857,158.1428571428571,14.47
50-69,26,28 Jun - 04 Jul 20,7,2020-06-28,2020-07-04,9152,1307,1251.2857142857142,56.14285714285711,4.49
50-69,27,05 Jul - 11 Jul 20,7,2020-07-05,2020-07-11,8801,1257,1307.4285714285713,-50.14285714285711,-3.84
50-69,28,12 Jul - 18 Jul 20,7,2020-07-12,2020-07-18,7916,1130,1257.2857142857142,-126.42857142857133,-10.06
50-69,29,19 Jul - 25 Jul 20,7,2020-07-19,2020-07-25,6951,993,1130.857142857143,-137.8571428571429,-12.19
50-69,30,26 Jul - 01 Aug 20,7,2020-07-26,2020-08-01,5883,840,993.0,-152.57142857142856,-15.36
50-69,31,02 Aug - 08 Aug 20,7,2020-08-02,2020-08-08,5469,781,840.4285714285714,-59.14285714285711,-7.04
50-69,32,09 Aug - 15 Aug 20,7,2020-08-09,2020-08-15,5048,721,781.2857142857143,-60.142857142857224,-7.7
50-69,33,16 Aug - 22 Aug 20,7,2020-08-16,2020-08-22,4431,633,721.1428571428571,-88.14285714285711,-12.22
50-69,34,23 Aug - 29 Aug 20,7,2020-08-23,2020-08-29,3963,566,633.0,-66.85714285714289,-10.56
50-69,35,30 Aug - 05 Sep 20,7,2020-08-30,2020-09-05,3735,533,566.1428571428571,-32.571428571428555,-5.75
50-69,36,06 Sep - 12 Sep 20,7,2020-09-06,2020-09-12,3579,511,533.5714285714286,-22.285714285714278,-4.18
50-69,37,13 Sep - 19 Sep 20,7,2020-09-13,2020-09-19,3441,491,511.2857142857143,-19.714285714285722,-3.86
50-69,38,20 Sep - 26 Sep 20,7,2020-09-20,2020-09-26,3391,484,491.57142857142856,-7.14285714285711,-1.45
50-69,39,27 Sep - 03 Oct 20,7,2020-09-27,2020-10-03,3173,453,484.42857142857144,-31.142857142857167,-6.43
50-69,40,04 Oct - 10 Oct 20,7,2020-10-04,2020-10-10,3098,442,453.2857142857143,-10.714285714285722,-2.36
50-69,41,11 Oct - 17 Oct 20,7,2020-10-11,2020-10-17,3030,432,442.57142857142856,-9.714285714285722,-2.19
50-69,42,18 Oct - 24 Oct 20,7,2020-10-18,2020-10-24,2862,408,432.85714285714283,-24.0,-5.54
50-69,43,25 Oct - 31 Oct 20,7,2020-10-25,2020-10-31,2776,396,408.85714285714283,-12.285714285714278,-3.0
50-69,44,01 Nov - 07 Nov 20,7,2020-11-01,2020-11-07,2789,398,396.57142857142856,1.8571428571428896,0.47
50-69,45,08 Nov - 14 Nov 20,7,2020-11-08,2020-11-14,2765,395,398.42857142857144,-3.428571428571445,-0.86
50-69,46,15 Nov - 21 Nov 20,7,2020-11-15,2020-11-21,2694,384,395.0,-10.142857142857167,-2.57
50-69,47,22 Nov - 28 Nov 20,7,2020-11-22,2020-11-28,2519,359,384.85714285714283,-25.0,-6.5
50-69,48,29 Nov - 05 Dec 20,7,2020-11-29,2020-12-05,2504,357,359.85714285714283,-2.1428571428571104,-0.6
50-69,49,06 Dec - 12 Dec 20,7,2020-12-06,2020-12-12,2443,349,357.7142857142857,-8.714285714285722,-2.44
50-69,50,13 Dec - 19 Dec 20,7,2020-12-13,2020-12-19,2359,337,349.0,-12.0,-3.44
50-69,51,20 Dec - 26 Dec 20,7,2020-12-20,2020-12-26,2382,340,337.0,3.2857142857142776,0.97
50-69,52,27 Dec - 02 Jan 21,7,2020-12-27,2021-01-02,2692,384,340.2857142857143,44.28571428571428,13.01
50-69,53,03 Jan - 09 Jan 21,7,2021-01-03,2021-01-09,3075,439,384.57142857142856,54.71428571428572,14.23
50-69,54,10 Jan - 16 Jan 21,7,2021-01-10,2021-01-16,3667,523,439.2857142857143,84.57142857142861,19.25
50-69,55,17 Jan - 23 Jan 21,7,2021-01-17,2021-01-23,4429,632,523.8571428571429,108.85714285714278,20.78
50-69,56,24 Jan - 30 Jan 21,7,2021-01-24,2021-01-30,5184,740,632.7142857142857,107.85714285714289,17.05
50-69,57,31 Jan - 06 Feb 21,7,2021-01-31,2021-02-06,5786,826,740.5714285714286,86.0,11.61
50-69,58,07 Feb - 13 Feb 21,7,2021-02-07,2021-02-13,6055,865,826.5714285714286,38.428571428571445,4.65
50-69,59,14 Feb - 20 Feb 21,7,2021-02-14,2021-02-20,6090,870,865.0,5.0,0.58
50-69,60,21 Feb - 27 Feb 21,7,2021-02-21,2021-02-27,6087,869,870.0,-0.4285714285714448,-0.05
50-69,61,28 Feb - 06 Mar 21,7,2021-02-28,2021-03-06,6375,910,869.5714285714286,41.14285714285711,4.73
50-69,62,07 Mar - 13 Mar 21,7,2021-03-07,2021-03-13,7019,1002,910.7142857142857,92.0,10.1
50-69,63,14 Mar - 20 Mar 21,7,2021-03-14,2021-03-20,8063,1151,1002.7142857142857,149.14285714285722,14.87
50-69,64,21 Mar - 27 Mar 21,7,2021-03-21,2021-03-27,9096,1299,1151.857142857143,147.57142857142844,12.81
