Fecha,avance,cobertura,rango_cobertura
2020-12-24,0.0,0.0,<50
2020-12-25,0.03,0.0,<50
2020-12-26,0.04,0.0,<50
2020-12-27,0.04,0.0,<50
2020-12-28,0.04,0.0,<50
2020-12-29,0.04,0.0,<50
2020-12-30,0.04,0.0,<50
2020-12-31,0.04,0.0,<50
2021-01-01,0.04,0.0,<50
2021-01-02,0.04,0.0,<50
2021-01-03,0.04,0.0,<50
2021-01-04,0.05,0.0,<50
2021-01-05,0.05,0.0,<50
2021-01-06,0.05,0.0,<50
2021-01-07,0.05,0.0,<50
2021-01-08,0.05,0.0,<50
2021-01-09,0.05,0.0,<50
2021-01-10,0.05,0.0,<50
2021-01-11,0.05,0.0,<50
2021-01-12,0.05,0.0,<50
2021-01-13,0.05,0.01,<50
2021-01-14,0.07,0.03,<50
2021-01-15,0.07,0.04,<50
2021-01-16,0.07,0.04,<50
2021-01-17,0.07,0.04,<50
2021-01-18,0.13,0.04,<50
2021-01-19,0.22,0.04,<50
2021-01-20,0.27,0.04,<50
2021-01-21,0.29,0.04,<50
2021-01-22,0.29,0.04,<50
2021-01-23,0.29,0.04,<50
2021-01-24,0.29,0.04,<50
2021-01-25,0.29,0.05,<50
2021-01-26,0.29,0.05,<50
2021-01-27,0.29,0.05,<50
2021-01-28,0.29,0.05,<50
2021-01-29,0.29,0.05,<50
2021-01-30,0.29,0.05,<50
2021-01-31,0.29,0.05,<50
2021-02-01,0.29,0.05,<50
2021-02-02,0.36,0.05,<50
2021-02-03,1.22,0.05,<50
2021-02-04,2.11,0.06,<50
2021-02-05,2.97,0.07,<50
2021-02-06,3.11,0.07,<50
2021-02-07,3.15,0.07,<50
2021-02-08,4.28,0.13,<50
2021-02-09,5.51,0.23,<50
2021-02-10,6.89,0.27,<50
2021-02-11,8.17,0.28,<50
2021-02-12,9.34,0.28,<50
2021-02-13,9.49,0.28,<50
2021-02-14,9.51,0.28,<50
2021-02-15,10.86,0.28,<50
2021-02-16,11.98,0.28,<50
2021-02-17,12.93,0.28,<50
2021-02-18,13.72,0.28,<50
2021-02-19,14.45,0.28,<50
2021-02-20,14.49,0.28,<50
2021-02-21,14.5,0.28,<50
2021-02-22,15.05,0.28,<50
2021-02-23,15.53,0.28,<50
2021-02-24,15.97,0.29,<50
2021-02-25,16.4,0.29,<50
2021-02-26,16.8,0.29,<50
2021-02-27,16.85,0.29,<50
2021-02-28,16.85,0.29,<50
2021-03-01,17.55,0.29,<50
2021-03-02,18.36,0.35,<50
2021-03-03,19.16,1.13,<50
2021-03-04,19.9,1.98,<50
2021-03-05,20.59,2.8,<50
2021-03-06,20.64,2.92,<50
2021-03-07,20.64,2.96,<50
2021-03-08,21.34,4.05,<50
2021-03-09,22.04,5.25,<50
2021-03-10,22.73,6.6,<50
2021-03-11,23.61,7.85,<50
2021-03-12,24.37,8.99,<50
2021-03-13,24.5,9.12,<50
2021-03-14,24.51,9.14,<50
2021-03-15,25.31,10.52,<50
2021-03-16,26.16,11.76,<50
2021-03-17,26.93,12.86,<50
2021-03-18,27.69,13.81,<50
2021-03-19,28.4,14.59,<50
2021-03-20,28.52,14.65,<50
2021-03-21,28.53,14.66,<50
2021-03-22,29.28,15.28,<50
2021-03-23,30.04,15.74,<50
2021-03-24,30.82,16.07,<50
2021-03-25,31.63,16.35,<50
2021-03-26,32.47,16.61,<50
2021-03-27,32.54,16.62,<50
2021-03-28,32.54,16.62,<50
2021-03-29,33.31,17.21,<50
2021-03-30,33.99,17.95,<50
2021-03-31,34.64,18.73,<50
2021-04-01,35.32,19.58,<50
2021-04-02,35.33,19.61,<50
2021-04-03,35.34,19.62,<50
2021-04-04,35.35,19.62,<50
2021-04-05,35.75,20.66,<50
2021-04-06,36.23,21.41,<50
2021-04-07,36.71,22.11,<50
2021-04-08,37.1,22.94,<50
2021-04-09,37.46,23.69,<50
2021-04-10,37.52,23.77,<50
2021-04-11,37.52,23.77,<50
2021-04-12,37.92,24.58,<50
2021-04-13,38.3,25.4,<50
2021-04-14,38.7,26.16,<50
2021-04-15,39.02,26.9,<50
2021-04-16,39.32,27.59,<50
2021-04-17,39.36,27.66,<50
2021-04-18,39.36,27.67,<50
2021-04-19,39.59,28.44,<50
2021-04-20,39.78,29.2,<50
2021-04-21,39.94,29.95,<50
2021-04-22,40.23,30.68,<50
2021-04-23,40.43,31.41,<50
2021-04-24,40.46,31.47,<50
2021-04-25,40.46,31.48,<50
2021-04-26,40.68,32.26,<50
2021-04-27,40.88,32.93,<50
2021-04-28,41.1,33.57,<50
2021-04-29,41.26,34.2,<50
2021-04-30,41.52,34.39,<50
2021-05-01,41.52,34.4,<50
2021-05-02,41.53,34.4,<50
2021-05-03,41.91,34.79,<50
2021-05-04,42.33,35.24,<50
2021-05-05,42.74,35.71,<50
2021-05-06,43.16,36.1,<50
2021-05-07,43.58,36.43,<50
