edad,fecha,primera_dosis,cantidad,cobertura_procentual
<50,2020-12-24,369,369,0.0
<50,2020-12-25,4183,4552,0.05
<50,2020-12-26,2733,7285,0.08
<50,2020-12-27,258,7543,0.08
<50,2020-12-28,0,7543,0.08
<50,2020-12-29,0,7543,0.08
<50,2020-12-30,0,7543,0.08
<50,2020-12-31,0,7543,0.08
<50,2021-01-01,0,7543,0.08
<50,2021-01-02,0,7543,0.08
<50,2021-01-03,0,7543,0.08
<50,2021-01-04,369,7912,0.08
<50,2021-01-05,1278,9190,0.1
<50,2021-01-06,178,9368,0.1
<50,2021-01-07,0,9368,0.1
<50,2021-01-08,1,9369,0.1
<50,2021-01-09,0,9369,0.1
<50,2021-01-10,0,9369,0.1
<50,2021-01-11,0,9369,0.1
<50,2021-01-12,0,9369,0.1
<50,2021-01-13,1,9370,0.1
<50,2021-01-14,1822,11192,0.12
<50,2021-01-15,843,12035,0.13
<50,2021-01-16,19,12054,0.13
<50,2021-01-17,0,12054,0.13
<50,2021-01-18,8866,20920,0.22
<50,2021-01-19,15587,36507,0.39
<50,2021-01-20,7271,43778,0.47
<50,2021-01-21,2378,46156,0.49
<50,2021-01-22,297,46453,0.5
<50,2021-01-23,0,46453,0.5
<50,2021-01-24,0,46453,0.5
<50,2021-01-25,15,46468,0.5
<50,2021-01-26,5,46473,0.5
<50,2021-01-27,0,46473,0.5
<50,2021-01-28,0,46473,0.5
<50,2021-01-29,0,46473,0.5
<50,2021-01-30,1,46474,0.5
<50,2021-01-31,0,46474,0.5
<50,2021-02-01,1,46475,0.5
<50,2021-02-02,10724,57199,0.61
<50,2021-02-03,86410,143609,1.54
<50,2021-02-04,66058,209667,2.25
<50,2021-02-05,57472,267139,2.86
<50,2021-02-06,7519,274658,2.94
<50,2021-02-07,1300,275958,2.96
<50,2021-02-08,45132,321090,3.44
<50,2021-02-09,53688,374778,4.01
<50,2021-02-10,57931,432709,4.63
<50,2021-02-11,58384,491093,5.26
<50,2021-02-12,49906,540999,5.79
<50,2021-02-13,9889,550888,5.9
<50,2021-02-14,1026,551914,5.91
<50,2021-02-15,48832,600746,6.43
<50,2021-02-16,51992,652738,6.99
<50,2021-02-17,42247,694985,7.44
<50,2021-02-18,31260,726245,7.78
<50,2021-02-19,25180,751425,8.05
<50,2021-02-20,2222,753647,8.07
<50,2021-02-21,369,754016,8.08
<50,2021-02-22,14633,768649,8.23
<50,2021-02-23,16277,784926,8.41
<50,2021-02-24,41316,826242,8.85
<50,2021-02-25,46226,872468,9.35
<50,2021-02-26,35942,908410,9.73
<50,2021-02-27,6503,914913,9.8
<50,2021-02-28,146,915059,9.8
<50,2021-03-01,44200,959259,10.27
<50,2021-03-02,53983,1013242,10.85
<50,2021-03-03,50842,1064084,11.4
<50,2021-03-04,38205,1102289,11.81
<50,2021-03-05,26731,1129020,12.09
<50,2021-03-06,2676,1131696,12.12
<50,2021-03-07,263,1131959,12.12
<50,2021-03-08,14668,1146627,12.28
<50,2021-03-09,16541,1163168,12.46
<50,2021-03-10,18874,1182042,12.66
<50,2021-03-11,26390,1208432,12.94
<50,2021-03-12,79890,1288322,13.8
<50,2021-03-13,6640,1294962,13.87
<50,2021-03-14,847,1295809,13.88
<50,2021-03-15,97691,1393500,14.93
<50,2021-03-16,114185,1507685,16.15
<50,2021-03-17,106396,1614081,17.29
<50,2021-03-18,109426,1723507,18.46
<50,2021-03-19,100990,1824497,19.54
<50,2021-03-20,15739,1840236,19.71
<50,2021-03-21,1904,1842140,19.73
<50,2021-03-22,97738,1939878,20.78
<50,2021-03-23,108691,2048569,21.94
<50,2021-03-24,74744,2123313,22.74
<50,2021-03-25,76886,2200199,23.57
<50,2021-03-26,85377,2285576,24.48
<50,2021-03-27,7772,2293348,24.56
<50,2021-03-28,592,2293940,24.57
<50,2021-03-29,48772,2342712,25.09
<50,2021-03-30,48069,2390781,25.61
<50,2021-03-31,49756,2440537,26.14
<50,2021-04-01,45283,2485820,26.63
<50,2021-04-02,1012,2486832,26.64
<50,2021-04-03,1129,2487961,26.65
<50,2021-04-04,388,2488349,26.65
<50,2021-04-05,36699,2525048,27.05
<50,2021-04-06,36092,2561140,27.43
<50,2021-04-07,35841,2596981,27.82
<50,2021-04-08,35785,2632766,28.2
<50,2021-04-09,36062,2668828,28.59
<50,2021-04-10,5611,2674439,28.65
<50,2021-04-11,684,2675123,28.65
<50,2021-04-12,56210,2731333,29.26
<50,2021-04-13,55313,2786646,29.85
<50,2021-04-14,63454,2850100,30.53
<50,2021-04-15,47392,2897492,31.04
<50,2021-04-16,38987,2936479,31.45
<50,2021-04-17,5423,2941902,31.51
<50,2021-04-18,724,2942626,31.52
<50,2021-04-19,26025,2968651,31.8
<50,2021-04-20,22997,2991648,32.04
<50,2021-04-21,18100,3009748,32.24
<50,2021-04-22,44868,3054616,32.72
<50,2021-04-23,28571,3083187,33.02
<50,2021-04-24,3775,3086962,33.07
<50,2021-04-25,221,3087183,33.07
<50,2021-04-26,35801,3122984,33.45
<50,2021-04-27,33421,3156405,33.81
<50,2021-04-28,38721,3195126,34.22
<50,2021-04-29,26345,3221471,34.51
<50,2021-04-30,36779,3258250,34.9
<50,2021-05-01,913,3259163,34.91
<50,2021-05-02,628,3259791,34.92
<50,2021-05-03,66365,3326156,35.63
<50,2021-05-04,72641,3398797,36.41
<50,2021-05-05,73691,3472488,37.19
<50,2021-05-06,73767,3546255,37.98
<50,2021-05-07,75033,3621288,38.79
<50,2021-05-08,15141,3636429,38.95
<50,2021-05-09,840,3637269,38.96
<50,2021-05-10,94171,3731440,39.97
<50,2021-05-11,98737,3830177,41.03
<50,2021-05-12,96085,3926262,42.06
<50,2021-05-13,89391,4015653,43.01
<50,2021-05-14,94811,4110464,44.03
<50,2021-05-15,933,4111397,44.04
<50,2021-05-16,242,4111639,44.04
<50,2021-05-17,117508,4229147,45.3
<50,2021-05-18,129041,4358188,46.68
<50,2021-05-19,118443,4476631,47.95
<50,2021-05-20,120806,4597437,49.24
<50,2021-05-21,7894,4605331,49.33
<50,2021-05-22,24663,4629994,49.59
<50,2021-05-23,3355,4633349,49.63
<50,2021-05-24,158820,4792169,51.33
<50,2021-05-25,170440,4962609,53.16
<50,2021-05-26,161886,5124495,54.89
