edad,fecha,segunda_dosis,cantidad,cobertura_procentual
<50,2020-12-24,0,0,0.0
<50,2020-12-25,0,0,0.0
<50,2020-12-26,0,0,0.0
<50,2020-12-27,0,0,0.0
<50,2020-12-28,0,0,0.0
<50,2020-12-29,0,0,0.0
<50,2020-12-30,0,0,0.0
<50,2020-12-31,0,0,0.0
<50,2021-01-01,0,0,0.0
<50,2021-01-02,0,0,0.0
<50,2021-01-03,0,0,0.0
<50,2021-01-04,0,0,0.0
<50,2021-01-05,0,0,0.0
<50,2021-01-06,0,0,0.0
<50,2021-01-07,0,0,0.0
<50,2021-01-08,0,0,0.0
<50,2021-01-09,0,0,0.0
<50,2021-01-10,0,0,0.0
<50,2021-01-11,0,0,0.0
<50,2021-01-12,0,0,0.0
<50,2021-01-13,883,883,0.01
<50,2021-01-14,4189,5072,0.05
<50,2021-01-15,2158,7230,0.08
<50,2021-01-16,58,7288,0.08
<50,2021-01-17,0,7288,0.08
<50,2021-01-18,0,7288,0.08
<50,2021-01-19,1,7289,0.08
<50,2021-01-20,0,7289,0.08
<50,2021-01-21,0,7289,0.08
<50,2021-01-22,1,7290,0.08
<50,2021-01-23,0,7290,0.08
<50,2021-01-24,0,7290,0.08
<50,2021-01-25,1249,8539,0.09
<50,2021-01-26,521,9060,0.1
<50,2021-01-27,33,9093,0.1
<50,2021-01-28,0,9093,0.1
<50,2021-01-29,4,9097,0.1
<50,2021-01-30,0,9097,0.1
<50,2021-01-31,0,9097,0.1
<50,2021-02-01,0,9097,0.1
<50,2021-02-02,5,9102,0.1
<50,2021-02-03,0,9102,0.1
<50,2021-02-04,1802,10904,0.12
<50,2021-02-05,610,11514,0.12
<50,2021-02-06,2,11516,0.12
<50,2021-02-07,2,11518,0.12
<50,2021-02-08,9449,20967,0.22
<50,2021-02-09,15546,36513,0.39
<50,2021-02-10,6583,43096,0.46
<50,2021-02-11,2196,45292,0.49
<50,2021-02-12,168,45460,0.49
<50,2021-02-13,28,45488,0.49
<50,2021-02-14,0,45488,0.49
<50,2021-02-15,0,45488,0.49
<50,2021-02-16,3,45491,0.49
<50,2021-02-17,0,45491,0.49
<50,2021-02-18,1,45492,0.49
<50,2021-02-19,1,45493,0.49
<50,2021-02-20,0,45493,0.49
<50,2021-02-21,0,45493,0.49
<50,2021-02-22,15,45508,0.49
<50,2021-02-23,35,45543,0.49
<50,2021-02-24,131,45674,0.49
