edad,fecha,primera_dosis,cantidad,cobertura_procentual
<50,2020-12-24,369,369,0.0
<50,2020-12-25,4184,4553,0.05
<50,2020-12-26,2735,7288,0.08
<50,2020-12-27,260,7548,0.08
<50,2020-12-28,0,7548,0.08
<50,2020-12-29,0,7548,0.08
<50,2020-12-30,0,7548,0.08
<50,2020-12-31,0,7548,0.08
<50,2021-01-01,0,7548,0.08
<50,2021-01-02,0,7548,0.08
<50,2021-01-03,0,7548,0.08
<50,2021-01-04,369,7917,0.08
<50,2021-01-05,1277,9194,0.1
<50,2021-01-06,178,9372,0.1
<50,2021-01-07,0,9372,0.1
<50,2021-01-08,0,9372,0.1
<50,2021-01-09,0,9372,0.1
<50,2021-01-10,0,9372,0.1
<50,2021-01-11,0,9372,0.1
<50,2021-01-12,0,9372,0.1
<50,2021-01-13,1,9373,0.1
<50,2021-01-14,1820,11193,0.12
<50,2021-01-15,844,12037,0.13
<50,2021-01-16,19,12056,0.13
<50,2021-01-17,0,12056,0.13
<50,2021-01-18,8848,20904,0.22
<50,2021-01-19,15578,36482,0.39
<50,2021-01-20,7271,43753,0.47
<50,2021-01-21,2381,46134,0.49
<50,2021-01-22,298,46432,0.5
<50,2021-01-23,0,46432,0.5
<50,2021-01-24,0,46432,0.5
<50,2021-01-25,15,46447,0.5
<50,2021-01-26,6,46453,0.5
<50,2021-01-27,0,46453,0.5
<50,2021-01-28,0,46453,0.5
<50,2021-01-29,0,46453,0.5
<50,2021-01-30,1,46454,0.5
<50,2021-01-31,0,46454,0.5
<50,2021-02-01,0,46454,0.5
<50,2021-02-02,10711,57165,0.61
<50,2021-02-03,86417,143582,1.54
<50,2021-02-04,66050,209632,2.25
<50,2021-02-05,57362,266994,2.86
<50,2021-02-06,7522,274516,2.94
<50,2021-02-07,1304,275820,2.95
<50,2021-02-08,45138,320958,3.44
<50,2021-02-09,53659,374617,4.01
<50,2021-02-10,57933,432550,4.63
<50,2021-02-11,58390,490940,5.26
<50,2021-02-12,49895,540835,5.79
<50,2021-02-13,9888,550723,5.9
<50,2021-02-14,1025,551748,5.91
<50,2021-02-15,48864,600612,6.43
<50,2021-02-16,51975,652587,6.99
<50,2021-02-17,42260,694847,7.44
<50,2021-02-18,31268,726115,7.78
<50,2021-02-19,25166,751281,8.05
<50,2021-02-20,2223,753504,8.07
<50,2021-02-21,371,753875,8.07
<50,2021-02-22,14669,768544,8.23
<50,2021-02-23,16309,784853,8.41
<50,2021-02-24,41278,826131,8.85
<50,2021-02-25,46200,872331,9.34
<50,2021-02-26,35925,908256,9.73
<50,2021-02-27,6436,914692,9.8
<50,2021-02-28,145,914837,9.8
<50,2021-03-01,44113,958950,10.27
<50,2021-03-02,53871,1012821,10.85
<50,2021-03-03,50786,1063607,11.39
<50,2021-03-04,38150,1101757,11.8
<50,2021-03-05,26718,1128475,12.09
<50,2021-03-06,2673,1131148,12.12
<50,2021-03-07,263,1131411,12.12
<50,2021-03-08,14696,1146107,12.28
<50,2021-03-09,16555,1162662,12.45
<50,2021-03-10,18897,1181559,12.66
<50,2021-03-11,26496,1208055,12.94
<50,2021-03-12,79793,1287848,13.79
<50,2021-03-13,6664,1294512,13.87
<50,2021-03-14,844,1295356,13.87
<50,2021-03-15,97473,1392829,14.92
<50,2021-03-16,113803,1506632,16.14
<50,2021-03-17,105858,1612490,17.27
<50,2021-03-18,108490,1720980,18.43
<50,2021-03-19,96900,1817880,19.47
<50,2021-03-20,15700,1833580,19.64
<50,2021-03-21,1896,1835476,19.66
<50,2021-03-22,94880,1930356,20.68
<50,2021-03-23,105278,2035634,21.8
<50,2021-03-24,73284,2108918,22.59
<50,2021-03-25,75833,2184751,23.4
<50,2021-03-26,84682,2269433,24.31
<50,2021-03-27,7708,2277141,24.39
<50,2021-03-28,591,2277732,24.4
<50,2021-03-29,48255,2325987,24.91
<50,2021-03-30,47331,2373318,25.42
<50,2021-03-31,49178,2422496,25.95
<50,2021-04-01,44783,2467279,26.43
<50,2021-04-02,1002,2468281,26.44
<50,2021-04-03,1126,2469407,26.45
<50,2021-04-04,386,2469793,26.45
<50,2021-04-05,36185,2505978,26.84
<50,2021-04-06,35428,2541406,27.22
<50,2021-04-07,35307,2576713,27.6
<50,2021-04-08,35265,2611978,27.98
<50,2021-04-09,35544,2647522,28.36
<50,2021-04-10,5512,2653034,28.42
<50,2021-04-11,673,2653707,28.42
<50,2021-04-12,55609,2709316,29.02
<50,2021-04-13,54690,2764006,29.61
<50,2021-04-14,62770,2826776,30.28
<50,2021-04-15,46636,2873412,30.78
<50,2021-04-16,38354,2911766,31.19
<50,2021-04-17,5336,2917102,31.25
<50,2021-04-18,709,2917811,31.25
<50,2021-04-19,25747,2943558,31.53
<50,2021-04-20,22715,2966273,31.77
<50,2021-04-21,17934,2984207,31.96
<50,2021-04-22,44654,3028861,32.44
<50,2021-04-23,28436,3057297,32.75
<50,2021-04-24,3732,3061029,32.79
<50,2021-04-25,220,3061249,32.79
<50,2021-04-26,35525,3096774,33.17
<50,2021-04-27,33192,3129966,33.53
<50,2021-04-28,38555,3168521,33.94
<50,2021-04-29,26175,3194696,34.22
<50,2021-04-30,36427,3231123,34.61
<50,2021-05-01,885,3232008,34.62
<50,2021-05-02,627,3232635,34.63
<50,2021-05-03,66102,3298737,35.33
<50,2021-05-04,72386,3371123,36.11
<50,2021-05-05,73483,3444606,36.9
<50,2021-05-06,73533,3518139,37.68
<50,2021-05-07,74700,3592839,38.48
<50,2021-05-08,15047,3607886,38.64
<50,2021-05-09,837,3608723,38.65
<50,2021-05-10,93927,3702650,39.66
<50,2021-05-11,98432,3801082,40.71
<50,2021-05-12,95757,3896839,41.74
<50,2021-05-13,89173,3986012,42.7
<50,2021-05-14,94421,4080433,43.71
<50,2021-05-15,920,4081353,43.72
<50,2021-05-16,239,4081592,43.72
<50,2021-05-17,117224,4198816,44.97
<50,2021-05-18,128345,4327161,46.35
<50,2021-05-19,117301,4444462,47.61
<50,2021-05-20,118866,4563328,48.88
<50,2021-05-21,7300,4570628,48.96
<50,2021-05-22,24204,4594832,49.22
<50,2021-05-23,3346,4598178,49.25
<50,2021-05-24,158267,4756445,50.95
<50,2021-05-25,169546,4925991,52.76
<50,2021-05-26,161224,5087215,54.49
<50,2021-05-27,148723,5235938,56.08
<50,2021-05-28,125976,5361914,57.43
<50,2021-05-29,36138,5398052,57.82
<50,2021-05-30,8023,5406075,57.91
<50,2021-05-31,138157,5544232,59.39
<50,2021-06-01,125795,5670027,60.73
<50,2021-06-02,98049,5768076,61.78
<50,2021-06-03,47748,5815824,62.29
<50,2021-06-04,35990,5851814,62.68
<50,2021-06-05,12845,5864659,62.82
<50,2021-06-06,1738,5866397,62.84
<50,2021-06-07,44259,5910656,63.31
<50,2021-06-08,49529,5960185,63.84
<50,2021-06-09,64121,6024306,64.53
<50,2021-06-10,87160,6111466,65.46
<50,2021-06-11,71039,6182505,66.22
<50,2021-06-12,20029,6202534,66.44
<50,2021-06-13,1249,6203783,66.45
<50,2021-06-14,92102,6295885,67.44
50-69,2020-12-24,49,49,0.0
50-69,2020-12-25,587,636,0.01
50-69,2020-12-26,397,1033,0.02
50-69,2020-12-27,51,1084,0.03
50-69,2020-12-28,0,1084,0.03
50-69,2020-12-29,0,1084,0.03
50-69,2020-12-30,0,1084,0.03
50-69,2020-12-31,0,1084,0.03
50-69,2021-01-01,0,1084,0.03
50-69,2021-01-02,0,1084,0.03
50-69,2021-01-03,0,1084,0.03
50-69,2021-01-04,36,1120,0.03
50-69,2021-01-05,165,1285,0.03
50-69,2021-01-06,27,1312,0.03
50-69,2021-01-07,0,1312,0.03
50-69,2021-01-08,0,1312,0.03
50-69,2021-01-09,0,1312,0.03
50-69,2021-01-10,0,1312,0.03
50-69,2021-01-11,0,1312,0.03
50-69,2021-01-12,0,1312,0.03
50-69,2021-01-14,292,1604,0.04
50-69,2021-01-15,111,1715,0.04
50-69,2021-01-16,4,1719,0.04
50-69,2021-01-17,0,1719,0.04
50-69,2021-01-18,1891,3610,0.08
50-69,2021-01-19,3523,7133,0.17
50-69,2021-01-20,1860,8993,0.21
50-69,2021-01-21,618,9611,0.23
50-69,2021-01-22,110,9721,0.23
50-69,2021-01-23,0,9721,0.23
50-69,2021-01-24,0,9721,0.23
50-69,2021-01-25,2,9723,0.23
50-69,2021-01-26,11,9734,0.23
50-69,2021-01-27,0,9734,0.23
50-69,2021-01-28,0,9734,0.23
50-69,2021-01-29,0,9734,0.23
50-69,2021-01-30,0,9734,0.23
50-69,2021-01-31,0,9734,0.23
50-69,2021-02-01,0,9734,0.23
50-69,2021-02-02,2376,12110,0.28
50-69,2021-02-03,25682,37792,0.89
50-69,2021-02-04,23544,61336,1.44
50-69,2021-02-05,22417,83753,1.97
50-69,2021-02-06,5079,88832,2.09
50-69,2021-02-07,2013,90845,2.14
50-69,2021-02-08,26415,117260,2.76
50-69,2021-02-09,33991,151251,3.56
50-69,2021-02-10,41609,192860,4.54
50-69,2021-02-11,48343,241203,5.67
50-69,2021-02-12,47784,288987,6.8
50-69,2021-02-13,10856,299843,7.05
50-69,2021-02-14,2262,302105,7.11
50-69,2021-02-15,140899,443004,10.42
50-69,2021-02-16,131181,574185,13.51
50-69,2021-02-17,118439,692624,16.3
50-69,2021-02-18,100504,793128,18.66
50-69,2021-02-19,96682,889810,20.93
50-69,2021-02-20,4977,894787,21.05
50-69,2021-02-21,543,895330,21.06
50-69,2021-02-22,69738,965068,22.7
50-69,2021-02-23,59923,1024991,24.11
50-69,2021-02-24,29822,1054813,24.82
50-69,2021-02-25,26427,1081240,25.44
50-69,2021-02-26,29968,1111208,26.14
50-69,2021-02-27,2558,1113766,26.2
50-69,2021-02-28,141,1113907,26.21
50-69,2021-03-01,85217,1199124,28.21
50-69,2021-03-02,98371,1297495,30.53
50-69,2021-03-03,100688,1398183,32.89
50-69,2021-03-04,100283,1498466,35.25
50-69,2021-03-05,103851,1602317,37.7
50-69,2021-03-06,6310,1608627,37.85
50-69,2021-03-07,715,1609342,37.86
50-69,2021-03-08,116239,1725581,40.6
50-69,2021-03-09,117117,1842698,43.35
50-69,2021-03-10,111633,1954331,45.98
50-69,2021-03-11,139442,2093773,49.26
50-69,2021-03-12,66315,2160088,50.82
50-69,2021-03-13,16745,2176833,51.21
50-69,2021-03-14,1796,2178629,51.26
50-69,2021-03-15,55653,2234282,52.57
50-69,2021-03-16,48175,2282457,53.7
50-69,2021-03-17,40891,2323348,54.66
50-69,2021-03-18,35908,2359256,55.51
50-69,2021-03-19,35420,2394676,56.34
50-69,2021-03-20,6889,2401565,56.5
50-69,2021-03-21,883,2402448,56.52
50-69,2021-03-22,45651,2448099,57.6
50-69,2021-03-23,38551,2486650,58.5
50-69,2021-03-24,76513,2563163,60.3
50-69,2021-03-25,78113,2641276,62.14
50-69,2021-03-26,79008,2720284,64.0
50-69,2021-03-27,4967,2725251,64.12
50-69,2021-03-28,360,2725611,64.12
50-69,2021-03-29,100127,2825738,66.48
50-69,2021-03-30,83765,2909503,68.45
50-69,2021-03-31,75332,2984835,70.22
50-69,2021-04-01,87771,3072606,72.29
50-69,2021-04-02,822,3073428,72.31
50-69,2021-04-03,717,3074145,72.32
50-69,2021-04-04,265,3074410,72.33
50-69,2021-04-05,41527,3115937,73.31
50-69,2021-04-06,55513,3171450,74.61
50-69,2021-04-07,57525,3228975,75.97
50-69,2021-04-08,39571,3268546,76.9
50-69,2021-04-09,33468,3302014,77.69
50-69,2021-04-10,5423,3307437,77.81
50-69,2021-04-11,398,3307835,77.82
50-69,2021-04-12,20773,3328608,78.31
50-69,2021-04-13,18545,3347153,78.75
50-69,2021-04-14,14821,3361974,79.1
50-69,2021-04-15,13834,3375808,79.42
50-69,2021-04-16,18332,3394140,79.85
50-69,2021-04-17,2386,3396526,79.91
50-69,2021-04-18,148,3396674,79.91
50-69,2021-04-19,16791,3413465,80.31
50-69,2021-04-20,15154,3428619,80.66
50-69,2021-04-21,12214,3440833,80.95
50-69,2021-04-22,10610,3451443,81.2
50-69,2021-04-23,10449,3461892,81.45
50-69,2021-04-24,1842,3463734,81.49
50-69,2021-04-25,123,3463857,81.49
50-69,2021-04-26,6647,3470504,81.65
50-69,2021-04-27,5052,3475556,81.77
50-69,2021-04-28,4271,3479827,81.87
50-69,2021-04-29,3996,3483823,81.96
