edad,fecha,segunda_dosis,cantidad,cobertura_procentual
<50,2020-12-24,0,0,0.0
<50,2020-12-26,0,0,0.0
<50,2020-12-27,0,0,0.0
<50,2020-12-28,0,0,0.0
<50,2020-12-29,0,0,0.0
<50,2020-12-30,0,0,0.0
<50,2020-12-31,0,0,0.0
<50,2021-01-01,0,0,0.0
<50,2021-01-02,0,0,0.0
<50,2021-01-03,0,0,0.0
<50,2021-01-04,0,0,0.0
<50,2021-01-05,0,0,0.0
<50,2021-01-06,0,0,0.0
<50,2021-01-07,0,0,0.0
<50,2021-01-08,0,0,0.0
<50,2021-01-09,0,0,0.0
<50,2021-01-10,0,0,0.0
<50,2021-01-11,0,0,0.0
<50,2021-01-12,0,0,0.0
<50,2021-01-13,880,880,0.01
<50,2021-01-14,4189,5069,0.05
<50,2021-01-15,2157,7226,0.08
<50,2021-01-16,58,7284,0.08
<50,2021-01-17,0,7284,0.08
<50,2021-01-19,1,7285,0.08
<50,2021-01-22,0,7285,0.08
<50,2021-01-23,0,7285,0.08
<50,2021-01-24,0,7285,0.08
<50,2021-01-25,1248,8533,0.09
<50,2021-01-26,521,9054,0.1
<50,2021-01-27,33,9087,0.1
<50,2021-01-28,0,9087,0.1
<50,2021-01-29,4,9091,0.1
<50,2021-01-30,0,9091,0.1
<50,2021-01-31,0,9091,0.1
<50,2021-02-01,0,9091,0.1
<50,2021-02-02,5,9096,0.1
<50,2021-02-04,1802,10898,0.12
<50,2021-02-05,610,11508,0.12
<50,2021-02-06,2,11510,0.12
<50,2021-02-07,2,11512,0.12
<50,2021-02-08,9433,20945,0.22
<50,2021-02-09,15536,36481,0.39
<50,2021-02-10,6575,43056,0.46
<50,2021-02-11,2191,45247,0.48
<50,2021-02-12,168,45415,0.49
<50,2021-02-13,28,45443,0.49
<50,2021-02-16,2,45445,0.49
<50,2021-02-22,15,45460,0.49
<50,2021-02-23,35,45495,0.49
<50,2021-02-24,130,45625,0.49
<50,2021-02-25,116,45741,0.49
<50,2021-02-26,95,45836,0.49
<50,2021-02-27,4,45840,0.49
<50,2021-02-28,0,45840,0.49
<50,2021-03-01,329,46169,0.49
<50,2021-03-02,9368,55537,0.59
<50,2021-03-03,76106,131643,1.41
<50,2021-03-04,63279,194922,2.09
<50,2021-03-05,54889,249811,2.68
<50,2021-03-06,6076,255887,2.74
<50,2021-03-07,992,256879,2.75
<50,2021-03-08,43586,300465,3.22
<50,2021-03-09,52232,352697,3.78
<50,2021-03-10,56396,409093,4.38
<50,2021-03-11,56492,465585,4.99
<50,2021-03-12,48695,514280,5.51
<50,2021-03-13,8262,522542,5.6
<50,2021-03-14,881,523423,5.61
<50,2021-03-15,51097,574520,6.15
<50,2021-03-16,56591,631111,6.76
<50,2021-03-17,62202,693313,7.43
<50,2021-03-18,55249,748562,8.02
<50,2021-03-19,35492,784054,8.4
<50,2021-03-20,3651,787705,8.44
<50,2021-03-21,322,788027,8.44
<50,2021-03-22,31453,819480,8.78
<50,2021-03-23,25186,844666,9.05
<50,2021-03-24,23037,867703,9.29
<50,2021-03-25,21187,888890,9.52
<50,2021-03-26,17141,906031,9.7
<50,2021-03-27,879,906910,9.71
<50,2021-03-28,152,907062,9.72
<50,2021-03-29,29877,936939,10.04
<50,2021-03-30,44123,981062,10.51
<50,2021-03-31,46992,1028054,11.01
<50,2021-04-01,40483,1068537,11.45
<50,2021-04-02,847,1069384,11.45
<50,2021-04-03,249,1069633,11.46
<50,2021-04-04,100,1069733,11.46
<50,2021-04-05,32266,1101999,11.8
<50,2021-04-06,21402,1123401,12.03
<50,2021-04-07,20927,1144328,12.26
<50,2021-04-08,26190,1170518,12.54
<50,2021-04-09,69474,1239992,13.28
<50,2021-04-10,4202,1244194,13.33
<50,2021-04-11,485,1244679,13.33
<50,2021-04-12,89025,1333704,14.29
<50,2021-04-13,103073,1436777,15.39
<50,2021-04-14,101391,1538168,16.48
<50,2021-04-15,101761,1639929,17.57
<50,2021-04-16,92367,1732296,18.56
<50,2021-04-17,9460,1741756,18.66
<50,2021-04-18,1114,1742870,18.67
<50,2021-04-19,96617,1839487,19.7
<50,2021-04-20,101976,1941463,20.8
<50,2021-04-21,72858,2014321,21.58
