region_nombre,Fecha,avance_porcentual,cobertura_porcentual,rango_cobertura
Aysén,2020-12-24,0.0,0.0,<50
Antofagasta,2020-12-24,0.0,0.0,<50
Arica y Parinacota,2020-12-24,0.0,0.0,<50
Atacama,2020-12-24,0.0,0.0,<50
Coquimbo,2020-12-24,0.0,0.0,<50
Araucanía,2020-12-24,0.0,0.0,<50
Los Lagos,2020-12-24,0.0,0.0,<50
Los Ríos,2020-12-24,0.0,0.0,<50
Magallanes,2020-12-24,0.0,0.0,<50
Tarapacá,2020-12-24,0.0,0.0,<50
Valparaíso,2020-12-24,0.0,0.0,<50
Ñuble,2020-12-24,0.0,0.0,<50
Biobío,2020-12-24,0.0,0.0,<50
O’Higgins,2020-12-24,0.0,0.0,<50
Maule,2020-12-24,0.0,0.0,<50
Metropolitana,2020-12-24,0.01,0.0,<50
Aysén,2020-12-25,0.0,0.0,<50
Antofagasta,2020-12-25,0.0,0.0,<50
Arica y Parinacota,2020-12-25,0.0,0.0,<50
Atacama,2020-12-25,0.0,0.0,<50
Coquimbo,2020-12-25,0.0,0.0,<50
Araucanía,2020-12-25,0.07,0.0,<50
Los Lagos,2020-12-25,0.0,0.0,<50
Los Ríos,2020-12-25,0.0,0.0,<50
Magallanes,2020-12-25,0.09,0.0,<50
Tarapacá,2020-12-25,0.0,0.0,<50
Valparaíso,2020-12-25,0.0,0.0,<50
Ñuble,2020-12-25,0.0,0.0,<50
Biobío,2020-12-25,0.08,0.0,<50
O’Higgins,2020-12-25,0.0,0.0,<50
Maule,2020-12-25,0.0,0.0,<50
Metropolitana,2020-12-25,0.04,0.0,<50
Aysén,2020-12-26,0.0,0.0,<50
Antofagasta,2020-12-26,0.0,0.0,<50
Arica y Parinacota,2020-12-26,0.0,0.0,<50
Atacama,2020-12-26,0.0,0.0,<50
Coquimbo,2020-12-26,0.0,0.0,<50
Araucanía,2020-12-26,0.07,0.0,<50
Los Lagos,2020-12-26,0.0,0.0,<50
Los Ríos,2020-12-26,0.0,0.0,<50
Magallanes,2020-12-26,0.09,0.0,<50
Tarapacá,2020-12-26,0.0,0.0,<50
Valparaíso,2020-12-26,0.0,0.0,<50
Ñuble,2020-12-26,0.0,0.0,<50
Biobío,2020-12-26,0.12,0.0,<50
O’Higgins,2020-12-26,0.0,0.0,<50
Maule,2020-12-26,0.0,0.0,<50
Metropolitana,2020-12-26,0.07,0.0,<50
Aysén,2020-12-27,0.0,0.0,<50
Antofagasta,2020-12-27,0.0,0.0,<50
Arica y Parinacota,2020-12-27,0.0,0.0,<50
Atacama,2020-12-27,0.0,0.0,<50
Coquimbo,2020-12-27,0.0,0.0,<50
Araucanía,2020-12-27,0.07,0.0,<50
Los Lagos,2020-12-27,0.0,0.0,<50
Los Ríos,2020-12-27,0.0,0.0,<50
Magallanes,2020-12-27,0.09,0.0,<50
Tarapacá,2020-12-27,0.0,0.0,<50
Valparaíso,2020-12-27,0.0,0.0,<50
Ñuble,2020-12-27,0.0,0.0,<50
Biobío,2020-12-27,0.12,0.0,<50
O’Higgins,2020-12-27,0.0,0.0,<50
Maule,2020-12-27,0.0,0.0,<50
Metropolitana,2020-12-27,0.07,0.0,<50
Aysén,2020-12-28,0.0,0.0,<50
Antofagasta,2020-12-28,0.0,0.0,<50
Arica y Parinacota,2020-12-28,0.0,0.0,<50
Atacama,2020-12-28,0.0,0.0,<50
Coquimbo,2020-12-28,0.0,0.0,<50
